objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
GBF_202211_item001,GBF_202211_item001.jpeg,,,Smart Watch Kids GPS/LBS Tracker SOS Phone Call SIM 360° Rotate Dual Camera,GBF,20/11/2022,"Shopee https://invl.io/clf1xzt
 
 Get the Smart Watch GPS/LBS Tracker SOS Phone Call SIM 360° Rotate Dual Camera. 
 Price: P725.00
 
 Function：
 1. As a Phone:
 Use a SIM card, this watch can talk like a mobile phone, Easier for you to pick up kids after school.
 2. IP67 Waterproof：
 IP67 waterproof can effectively protect the watch when it fall in water,IP64 is only life waterproof
 3. Two-way clear call:
 Unique antenna design, multiple calibrations to ensure a stable call.
 4. Voice chat:
 Simpler operation and clearer voice, Easy group chat, support group chat with multiple mobile phones.
 5. Touch Screen:
 1.44 inches oversized touch screen, easy for operation.
 6. Disabled in class: 
 After the parent's APP setting enable to use in class, the watch can only show the time and let the children concentrate on learning.
 7. Dual Camera：
 HD dual camera, make the picture clearer
 8. Longer standby time:
 With high-polymerized custom battery, it features charging faster, higher performance.
 9. Additional function:
 Dial call, Phone book, Low-power alarm, Incoming call, Message reminder, History route, Safe zone, Alarm clock, Fun game, Camera, Album, LBS, SOS etc.
 
 Specification：
 Material: silicon + ABS
 Screen Size: 1.44 inch
 Display: 128*128
 SIM Card: Single Micro SIM card(not included)
 GSM: 850/900/1800/1900 MHz four frequency band
 Talk band: 2G quad-band（Does not support 4G network）
 Radiation: lower than mobile phones, international standards, no impact on the human body
 Compatibility: Android and IOS
 Battery: 400mAH
 Charging Time: 2 Hours
 Waterproof：IP67 waterproof can effectively protect the watch when it fall in water,IP64 is only life waterproof
 Watches Language：English
 APP Language:English, Spanish, Arabic, Portuguese, Russian，Italian，Polish，Czech，German ,Indonesia, Malay, Thai etc.
 
 
 Package include：
 1 x Kids Smart Watch
 1 x Magnetic Charging Cable
 1 x User Manual
 Freebie toy
 Watch Box",SmartWatch;KidsWatch;ChildWatch;GBF,"Binondo, Manila",14.6005706,120.968778,,,Image;StillImage,image/jpeg,eng,,
GBF_202211_item002,GBF_202211_item002.jpeg,,,Gaabor Portable Juicer Cordless Juice Cup 300ml Rechargeable Juicer,GBF,20/11/2022,"Shopee https://invl.io/clf1xyg
 
 Gaabor Portable Juicer Cordless Juice Cup 300ml Rechargeable Juicer. P399.00
 Description: 
 - Super strong endurance
 - Multiple safety protection
 - Cordless juice cup where you can go out easily and drink fresh juice at anytime, anywhere
 - 300ml large capacity, one cup at a time, and full of vitality
 - Can make up to 10 cups when fully charged
 - Two-blade cutter head for faster cutting
 - Type-C charging fast and convenient it can be charged anywhere 
 - Double-click to clean, just fill the juicer with water and use whirlpool to clean it leaves no residue
 Specifications: 
 Category Name: Gaabor Portable Juicer
 Product Model: GF-M40A
 Rated Power (w): 40
 Rated Voltage (v): 3.7
 Rated Capacity (L): 0.3
 Inner package size (L*W*H mm): 98x98x187
 Net Weight (kg): 0.32
 Gross weight of product (kg): 0.38
 Product Color: White",Portableblender;Rechargeablejuicer;GBF,"Bulacan, North Luzon",14.7651002,120.799336,,,Image;StillImage,image/jpeg,eng,,
GBF_202211_item003,GBF_202211_item003.jpeg,,,Samsung Galaxy Tab A7 Lite 2021,GBF,20/11/2022,"Shopee https://invl.io/clf26pz
 Samsung Galaxy Tab A7 Lite 2021 
 P6,490 only
 
 NETWORKTechnology
 GSM / HSPA / LTE
 LAUNCH Announced 2021, May 27
 Released 2021, June 18
 BODY Dimensions 212.5 x 124.7 x 8 mm (8.37 x 4.91 x 0.31 in)
 Weight 366 g (Wi-Fi), 371 g (LTE) (12.91 oz)
 Build Glass front, aluminum back, aluminum frame, plastic ends
 SIM Nano-SIM
 DISPLAY Type TFT
 Size8.7 inches, 214.9 cm2 (~81.1% screen-to-body ratio)
 Resolution 800 x 1340 pixels, 5:3 ratio (~179 ppi density)
 PLATFORMS Android 11, One UI 3.1
 Chipset Mediatek MT8768T Helio P22T (12 nm)
 CPU Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)
 GPUPowerVR GE8320
 MEMORY Card slotmicro SDXC (dedicated slot)
 Internal 32GB / 3GB RAM",SamsungGalaxyTabA7lite;samsungtab;GBF,"Calamba City, Laguna",14.1881785,121.046191,,,Image;StillImage,image/jpeg,eng,,
GBF_202211_item004,GBF_202211_item004.jpeg,,,11 in 1 USB HUB USB-C TO HDMI VGA LAN USB TF SD PD Audio,GBF,20/11/2022,"Shopee https://invl.io/clf2eqb 
 
 11 in 1 USB HUB USB-C TO HDMI+VGA+LAN+USB+TF+SD+PD+Audio 
 Super Fast Charge
 How can you be troubled by power outages during work and entertainment? 
 Transferring large files in seconds
 USB 3.0 high speed transmission, transmission speed up to 450MB/s 
 Compatible with Dell, Ausus, HP, Apple Pc 
 BUY Now at shopee",USBHubport;TypeChub;GBH,"Parañaque, Metro Manila",14.4845809,121.012023,,,Image;StillImage,image/jpeg,eng,,
GBF_202211_item005,GBF_202211_item005.jpeg,,,Portable Tire Inflator Pump Car Wireless Air Pump 150psi Electric Digital Tire Air Ppressure,GBF,20/11/2022,"Shopee https://invl.io/clf2g0d
 
 Portable Tire Inflator Pump Car Wireless Air Pump 150psi Electric Digital Tire Air Ppressure at 69% off! ₱769 only.",PortableTireInflator;GBF,"Manila, Metro Manila",14.5964879,120.909519,,,Image;StillImage,image/jpeg,eng,,
GBF_202211_item006,GBF_202211_item006.jpeg,,,WM01 TWS Bluetooth Wireless Earphones with Free Earphone Case,GBF,20/11/2022,"Shopee https://invl.io/clf2xig
 
 WM01 TWS Bluetooth Wireless Earphones with Free Earphone Case for P699 only.",Baseuswm01;earbudswireless;bluetoothearphones;GBF,"Binondo, Manila",14.6005706,120.968778,,,Image;StillImage,image/jpeg,eng,,
GBF_202211_item007,GBF_202211_item007.jpeg,,,Freak Giannis Immortality 2 Blue Yellow Mix Basketball Shoes For Men,GBF,20/11/2022,"Shopee https://invl.io/clf2xwt 
 
 Freak Giannis Immortality 2 Blue Yellow Mix Basketball Shoes For Men OEM Quality With Box for ₱1,899 only.",Giannis;BasketballShoes;GBF,"Manila, Metro Manila",14.5964879,120.909519,,,Image;StillImage,image/jpeg,eng,,
GBF_202211_item008,GBF_202211_item008.jpeg,,,Yeesall 14 Inch Electric Bike 48V Foldable Bicycle Adult Scooter,GBF,20/11/2022,"Shopee https://invl.io/clf37q7 
 
 Yeesall 14 Inch Electric Bike 48V Foldable Bicycle Adult Scooter, ₱13,890 only. 
 
 1. Vector sine wave control system
 2. Controller: E-ABS front and rear double disc brakes 
 3. Tire: 14 inchVacuum Tire 
 4. Body: High Carbon Steel Stoving Varnish Body Frame 
 5. Power Mode: pure electric/assisted/manpower 
 6. Plastic Part: Fine Stoving Varnish Plastic Parts 
 7. Turn Light: Front/Rear 
 8. Brake Mode: Front: Drum Brake/Rear:Expanding Brake 
 9. Shock Absorption: Hydraulic Shock Absorption (Front/Rear) 
 10. Variable Speed: Low/Medium/High 3 Levels 
 11. Dashboard: Digital Display 
 12. Vehicle Light: LED Head Light + Tail Lamp 
 13. Charging Mode: Charge to the E-Bike 14. Manual Mode: Pedal 
 15. Lithium battery: 48V 6Ah 
 16. Weight: 25kg 
 17. Load-bearing: 100kg and above 
 18. Dimension: 126*340*80 19.Max Speed: 25km/h 20.Charge time: 8 hours to full charge",Ebike;ebikepedal;GBF,"Binondo, Manila",14.6005706,120.968778,,,Image;StillImage,image/jpeg,eng,,
GBF_202211_item009,GBF_202211_item009.jpeg,,,Christmas Drop Earrings,GBF,20/11/2022,"Shopee https://invl.io/clf3mdn 
 
 Christmas Earrings for ₱60+ only",ChristmasEarrings;DropEarrings;GBF,"Binondo, Manila",14.6005706,120.968778,,,Image;StillImage,image/jpeg,eng,,
GBF_202211_item010,GBF_202211_item010.jpeg,,,Transformers Bumblebee Bluetooth Speaker with Light Up LED,GBF,20/11/2022,"Shopee https://invl.io/clf3mx1 
 
 Transformers Bumblebee Bluetooth Speaker with Light Up LED at ₱330 only. 
 
 6mos. Warranty 
 
 Features:
 1. Advanced bluetooth decode chip,support to connected with the all bluetooth equipment.
 2.TF card function supported, it is more convenient for you to enjoy music without other device
 3.Built-in Li-Ion 1200 mAh rechargeable battery achieve up to 6 hours playtime
 4. 360-degree stereo sound, better bass performance and powerful 
 Specifications:
 Bluetooth connection, TF, FM radio Speaker
 Power: 3W
 Battery capacity: 1200mah
 Speaker: 2 inch + head subwoofer
 Mode of operation: button
 Canning material: ABS eco-friendly material
 Power supply: Built-in lithium battery
 Playtime: 6 hours
 Charging method: USB
 Frequency response range: 100HZ-20KHZ
 Bluetooth protocol: 5.0
 Effective distance: 10 meters",Bumblebee;BluetoothSpeaker;GBF,"Binondo, Manila",14.6005706,120.968778,,,Image;StillImage,image/jpeg,eng,,
